Main Product,Competitor Name,ASIN,Suggested Slug,Research File
"Wüsthof Classic Ikon 16-Piece Knife Set","Zwilling Professional S 16-Piece Knife Block Set",NEED ASIN,zwilling-professional-s-16-piece-knife-block-set,PRODUCT_3_WUSTHOF_CLASSIC_IKON_16PC_RESEARCH.md
"Wüsthof Classic Ikon 16-Piece Knife Set","Shun Classic 9-Piece Chef's Block Set",NEED ASIN,shun-classic-9-piece-chefs-block-set,PRODUCT_3_WUSTHOF_CLASSIC_IKON_16PC_RESEARCH.md
"Wüsthof Classic Ikon 16-Piece Knife Set","Henckels International Classic 16-Piece Knife Block Set",NEED ASIN,henckels-international-classic-16-piece-knife-block-set,PRODUCT_3_WUSTHOF_CLASSIC_IKON_16PC_RESEARCH.md
"Le Creuset 5.5 Qt Signature Round Dutch Oven","Staub 5.5 Qt Round Cocotte",NEED ASIN,staub-55-qt-round-cocotte,Product-02-Le-Creuset-Dutch-Oven-Research.md
"Le Creuset 5.5 Qt Signature Round Dutch Oven","Lodge 6 Quart Enameled Cast Iron Dutch Oven",NEED ASIN,lodge-6-quart-enameled-cast-iron-dutch-oven,Product-02-Le-Creuset-Dutch-Oven-Research.md
"Le Creuset 5.5 Qt Signature Round Dutch Oven","Cuisinart Chef's Classic 5 Qt Round Covered Casserole",NEED ASIN,cuisinart-chefs-classic-5-qt-round-covered-casserole,Product-02-Le-Creuset-Dutch-Oven-Research.md
"Norton IM200 Professional Sharpening System","Smith's TRI6 Arkansas Tri-Hone Sharpening System",NEED ASIN,smiths-tri6-arkansas-tri-hone-sharpening-system,Product-13-Norton-IM200-Research.md
"Norton IM200 Professional Sharpening System","Work Sharp Precision Adjust Elite",NEED ASIN,work-sharp-precision-adjust-elite,Product-13-Norton-IM200-Research.md
"Norton IM200 Professional Sharpening System","Sharp Pebble 1000/6000 Whetstone Kit",NEED ASIN,sharp-pebble-10006000-whetstone-kit,Product-13-Norton-IM200-Research.md
"HENCKELS 9-Inch Fine Edge Sharpening Steel","WÜSTHOF 9-Inch Honing Steel",NEED ASIN,wsthof-9-inch-honing-steel,Product-14-Henckels-Sharpening-Steel-Comparison-Research.md
